epoch,acc,i_over_u,loss,val_acc,val_i_over_u,val_loss
0,0.8206582761360776,0.5295307959175831,0.730088665520861,0.8642318216959636,0.6171129361724231,0.4854788644363483
1,0.858158112068971,0.6849679300266414,0.4996798261964605,0.8626066589355469,0.6752649689730076,0.4890037990237276
2,0.8728741377450171,0.7333052711703132,0.43519279964623,0.8721264139811198,0.6797601417054432,0.44055930495262147
3,0.8844250620546795,0.7620014869783202,0.38949312083777926,0.8704396565755208,0.7082764892409841,0.4294182416051626
4,0.8948753312372026,0.7821927456800833,0.350619389491067,0.885015869140625,0.7204400855578259,0.4075454122324785
5,0.9051369428208896,0.7965548562339404,0.3150557295995809,0.8824153137207031,0.7232452166499536,0.3982860763867696
6,0.9142390847915695,0.8064892554853286,0.2843057020895538,0.8702017720540365,0.7533648801696773,0.46260731022804974
7,0.9207023222673507,0.8131149475931646,0.26233528341211027,0.891218516031901,0.7419579469077295,0.39600830218444266
8,0.9261204295498984,0.8193762403681688,0.24340979180697883,0.8739803059895833,0.7504600097946191,0.4574353793760141
9,0.9313864078975859,0.8259063759938791,0.2255512884702711,0.8933398946126302,0.7491895383308148,0.41395142875611785
10,0.9369131936913445,0.8328217305210717,0.20649139760505586,0.8829210917154948,0.7698516248385094,0.43548561543226244
11,0.9422611452568145,0.8395848670836735,0.1879477965884975,0.8892107137044271,0.7528016669199732,0.4385122493902842
12,0.9473217744628588,0.8463073723709164,0.17033623673376583,0.8875668334960938,0.7437510551934805,0.461580101326108
13,0.9510390411530222,0.8523304986942021,0.15687893957609222,0.8769739786783854,0.7828359202585309,0.4950348115774492
14,0.9583160745387985,0.86510326013575,0.13052397232059212,0.8855680338541667,0.7707015327480556,0.504302085613211



