epoch,acc,i_over_u,loss,val_acc,val_i_over_u,val_loss
0,0.8698746759071946,,0.45647315732203425,0.8904238194056919,,0.3594390731272953
1,0.8972721293568611,,0.33284920430742204,0.902616938999721,,0.31477446824844396
2,0.9087715521082282,,0.2897735042590648,0.9086796308244978,,0.2921405051611364
3,0.9174162056297064,,0.2601189310150221,0.9112554844447545,,0.28491378422294344
4,0.9245862242206931,,0.23605351793579757,0.9140924682617187,,0.276785018772419
5,0.9311938600242138,0.8358092120918873,0.2147277321247384,0.9165680018833705,0.7912079610840587,0.27165911755231875
6,0.9367534274980426,0.8407667378795508,0.19682437933515756,0.9163481924874441,0.792063660976319,0.2842857316530177
7,0.9413486590236425,0.8452962032022946,0.18207920698449015,0.9179532863071986,0.7969184807934587,0.27843081357383304
8,0.9453919843956828,0.8487774215417896,0.1691404078574851,0.9172501831054688,0.8017029836267933,0.2953248821369239
9,0.9488739707693458,0.85310432985938,0.1577645234996453,0.9197097865513393,0.8007687237054077,0.2890811669799898
10,0.9514600628986954,0.8559690329434266,0.14899747368413954,0.9186551034109933,0.800922551571524,0.3129311394569065
11,0.9542902662977576,0.8599367331137814,0.13965399586129934,0.9206226196289062,0.8072954980246216,0.3003179153986275
12,0.9565036018192768,0.8626649656784713,0.13205356078688055,0.918831782749721,0.8066797345002947,0.3218978752754629
13,0.9581381627917289,0.8651695790270764,0.12635011500213295,0.9206912231445312,0.8072230038470432,0.308764507313392
14,0.9566070818333399,0.8660834578137092,0.13228318869358016,0.9318320719401042,0.7980144283779513,0.23198580707112948

